pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-12 00:20:51+00:00,Some Arizona Latinos Find New Home Within Republican Party,"President-elect Donald J. Trump won Arizona, flipping the swing state back to red. Younger Latino voters, like José Castro, were among those who shifted to the right, turning to older Republicans like Gerry Navarro who were ready and willing to welcome him into the party.","President-elect Donald J. Trump won Arizona, flipping the swing state back to red. Younger Latino voters, like José Castro, were among those who shifted to the right, turning to older Republicans like Gerry Navarro who were ready and willing to welcome him into the party.","President-elect Donald J. Trump won Arizona, flipping the swing state back to red. Younger Latino voters, like José Castro, were among those who shifted to the right, turning to older Republicans like Gerry Navarro who were ready and willing to we...",,2024-11-12
2024-11-12 00:22:46+00:00,Trump to Name Michael Waltz as His National Security Adviser,The president-elect has chosen a Republican member of Congress from Florida to oversee national security policy in the White House.,"President-elect Donald J. Trump has chosen Representative Michael Waltz of Florida to be his national security adviser, two people familiar with the decision said on Monday, turning to a former Green Beret who has taken a tough line on China to oversee foreign and national security policy in the White House.",The president-elect has chosen a Republican member of Congress from Florida to oversee national security policy in the White House.,Washington,2024-11-12
2024-11-12 00:29:46+00:00,‘We Welcomed Them’: G.O.P. Embraces New Latino Voters in Arizona,"Days ago, President-elect Donald J. Trump won swing-state Arizona, flipping the state back to red.",José Castro is one of the many younger Latino men in Arizona who have shifted to the right and wholeheartedly embraced Donald J. Trump this election. Support for Mr. Trump among Hispanic male voters rose significantly nationwide.,"Days ago, President-elect Donald J. Trump won swing-state Arizona, flipping the state back to red.",Video,2024-11-12
2024-11-12 01:17:38+00:00,Trump Expected to Name Marco Rubio as Secretary of State,"The president-elect appears to have settled on the Florida senator, who has taken hard-line positions on China, Iran and Venezuela, to be the nation’s top diplomat.","President-elect Donald J. Trump is expected to name Senator Marco Rubio of Florida as his secretary of state, three people familiar with his thinking said on Monday, as Mr. Trump moves rapidly to fill out his foreign policy and national security team.","The president-elect appears to have settled on the Florida senator, who has taken hard-line positions on China, Iran and Venezuela, to be the nation’s top diplomat.",Washington,2024-11-12
2024-11-12 01:37:35+00:00,Donald Trump Jr. Is Joining a Venture Capital Firm,"The firm, 1789 Capital, invests in products and companies aimed at conservative audiences.",The eldest son of President-elect Donald J. Trump will not be a member of his father’s administration — he is joining a venture capital firm.,"The firm, 1789 Capital, invests in products and companies aimed at conservative audiences.",Politics,2024-11-12
2024-11-12 01:38:45+00:00,Trump Allies Push Him to Block Thune From Becoming Senate G.O.P. Leader,"Advisers to the president-elect, who already has a strong hold on congressional Republicans, want him to tighten his grip by torpedoing the bid of the establishment front-runner for the post.","Some of President-elect Donald J. Trump’s closest allies are privately counseling him to try to block a onetime Republican nemesis from becoming the Senate majority leader, pushing him to impose his will more forcefully on an already compliant G.O.P. Congress.","Advisers to the president-elect, who already has a strong hold on congressional Republicans, want him to tighten his grip by torpedoing the bid of the establishment front-runner for the post.",Washington,2024-11-12
2024-11-12 01:53:54+00:00,"Wildfire Grows in New Jersey and New York, Despite Modest Rainfall","The Jennings Creek fire is currently burning across 3,500 acres, officials said, and is expected to grow to over 5,000 acres.","A wildfire consuming a vast stretch of hilly forest along the New York-New Jersey border continued to grow on Monday despite the first significant rainfall in nearly six weeks, fire officials said. Bone-dry weather and gusts of up to 40 miles per hour are expected to sweep through the region on Tuesday, raising the risk that the fire will continue to spread.","The Jennings Creek fire is currently burning across 3,500 acres, officials said, and is expected to grow to over 5,000 acres.",Metro,2024-11-12
2024-11-12 02:00:11+00:00,Review: Blowing Louis Armstrong’s Horn Isn’t Enough in ‘A Wonderful World’,The great jazz trumpeter and sandpaper vocalist gets the old jukebox treatment in a new Broadway musical starring James Monroe Iglehart.,"Who, having lived through 20th-century pop culture, could fail to recognize that voice like a truck without a muffler? That piercing trumpet and embracing spirit?",The great jazz trumpeter and sandpaper vocalist gets the old jukebox treatment in a new Broadway musical starring James Monroe Iglehart.,Culture,2024-11-12
2024-11-12 02:30:02+00:00,"No Corrections: Nov. 12, 2024","No corrections appeared in print on Tuesday, Nov. 12, 2024.",,"No corrections appeared in print on Tuesday, Nov. 12, 2024.",Corrections,2024-11-12
2024-11-12 02:45:49+00:00,Former Fox News Host Chris Wallace to Quit CNN After 3 Years,The 77-year-old veteran anchor told The Daily Beast that he planned to venture into streaming or podcasting.,"Chris Wallace, a veteran TV anchor who left Fox News for CNN three years ago, announced on Monday that he was leaving his post to venture into the streaming or podcasting worlds.",The 77-year-old veteran anchor told The Daily Beast that he planned to venture into streaming or podcasting.,Express,2024-11-12
2024-11-12 03:00:06+00:00,First Half of an Alley-Oop,You heard it here first: Avery Gee Katz and Aaron Gee make their collaboration debut.,Jump to: Today’s Theme | Tricky Clues,You heard it here first: Avery Gee Katz and Aaron Gee make their collaboration debut.,Games,2024-11-12
2024-11-12 04:52:38+00:00,"Ruben Gallego Wins Arizona Senate Race, Defeating Kari Lake","The Democratic congressman had led Ms. Lake, a former television anchor and bombastic Trump ally, in most polls.","Representative Ruben Gallego, a Phoenix-area Democrat and military veteran, has won the Senate race in Arizona, The Associated Press said on Monday night — a bright spot for Democrats after Republicans regained control of the chamber.","The Democratic congressman had led Ms. Lake, a former television anchor and bombastic Trump ally, in most polls.",Politics,2024-11-12
2024-11-12 04:59:00+00:00,"Quote of the Day: Rural Missouri Town Fights Big Tech, and Itself","Quotation of the Day for Tuesday, November 12, 2024","“Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly, and applying the wrong remedies.”","Quotation of the Day for Tuesday, November 12, 2024",Summary,2024-11-12
2024-11-12 05:00:15+00:00,Europe Braces for Trump: ‘Worst Economic Nightmare Has Come True’,"The United States is the biggest trading partner for the European Union and Britain, whose economies could be at risk from the president-elect’s policies.",The outlook for Europe’s economy has been disappointing.,"The United States is the biggest trading partner for the European Union and Britain, whose economies could be at risk from the president-elect’s policies.",Business,2024-11-12
