pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-11 00:22:38+00:00,"Bruce Degen, Who Drew ‘The Magic School Bus,’ Dies at 79",He memorably portrayed a frizzy-haired science teacher roping her elementary school class into adventures aboard a shape-shifting yellow bus.,"Bruce Degen, the illustrator of “The Magic School Bus” series of children’s books, which gained a reputation as the clearest and most charming science texts available for elementary school students and have been read by tens of millions of children worldwide, died on Thursday at his home in Newtown, Conn. He was 79.",He memorably portrayed a frizzy-haired science teacher roping her elementary school class into adventures aboard a shape-shifting yellow bus.,Obits,2024-11-11
2024-11-11 00:29:07+00:00,Man Arrested in Shooting That Killed One at Tuskegee University,"The shooting, which also wounded 12 people, happened early on Sunday as crowds gathered at the historically Black school to celebrate the final day of its 100th homecoming week.","A 25-year-old man was charged in connection with a shooting on the campus of Tuskegee University in Alabama early Sunday morning that left one person dead and a dozen others wounded as crowds gathered for the school’s homecoming celebration, the authorities said.","The shooting, which also wounded 12 people, happened early on Sunday as crowds gathered at the historically Black school to celebrate the final day of its 100th homecoming week.",Express,2024-11-11
2024-11-11 00:54:42+00:00,"Chaos, Provocations and Violence: How Attacks on Israeli Soccer Fans Unfolded","Antisemitic assaults on visiting Israeli soccer fans, and incendiary chants and attacks by some Israelis: Here’s what we know so far about the violence in Amsterdam last week.","Early Thursday morning, taxi drivers gathered en masse outside Amsterdam’s Holland Casino. Hours before, Israeli soccer fans had stolen and burned a Palestinian flag, while others attacked a cab — and the drivers, the police said, were heeding an online call to “mobilize.”","Antisemitic assaults on visiting Israeli soccer fans, and incendiary chants and attacks by some Israelis: Here’s what we know so far about the violence in Amsterdam last week.",Foreign,2024-11-11
2024-11-11 01:00:03+00:00,This Is the Cake We Baked,"Talking to people who helped make Donald Trump’s victory happen, and others.",On This Week’s Episode:,"Talking to people who helped make Donald Trump’s victory happen, and others.",Podcasts,2024-11-11
2024-11-11 01:00:34+00:00,Military Judge Postpones Guilty Plea Proceedings in Sept. 11 Case,The judge asked defense and prosecution lawyers to settle on a date for the accused mastermind of the terrorist attacks to plead guilty.,"A military judge on Sunday postponed a hearing to receive the guilty plea of Khalid Shaikh Mohammed, who is accused of masterminding the Sept. 11 attacks, so that prosecutors can seek again to nullify the plea deal.",The judge asked defense and prosecution lawyers to settle on a date for the accused mastermind of the terrorist attacks to plead guilty.,Washington,2024-11-11
2024-11-11 02:30:01+00:00,"No Corrections: Nov. 11, 2024","No corrections appeared in print on Monday, Nov. 11, 2024.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.","No corrections appeared in print on Monday, Nov. 11, 2024.",Corrections,2024-11-11
2024-11-11 05:00:13+00:00,Trump’s Return Hangs Over U.N. Climate Negotiations,The election of Donald J. Trump is sapping momentum from global climate talks as diplomats brace for his pro-fossil-fuel agenda.,"World leaders gathering in Baku, the capital of Azerbaijan, on Monday for a global climate summit face a bleak reality: The United States, the country responsible for pumping the most greenhouse gases into the atmosphere, is expected to soon drop out of the fight against climate change.",The election of Donald J. Trump is sapping momentum from global climate talks as diplomats brace for his pro-fossil-fuel agenda.,Climate,2024-11-11
2024-11-11 05:01:06+00:00,Why Is a Petrostate Holding This Year’s Climate Talks?,"The economy of Azerbaijan, host of COP29, relies almost entirely on the fossil fuels that are the main driver of global warming.","Heading into this month’s United Nations-sponsored climate negotiations, the world is contending with rising climate chaos and declining democracy.","The economy of Azerbaijan, host of COP29, relies almost entirely on the fossil fuels that are the main driver of global warming.",Climate,2024-11-11
2024-11-11 05:01:08+00:00,"Quote of the Day: These A.I. Glasses Tell All at a Glance, and Bring Up Thorny Issues","Quotation of the Day for Monday, November 11, 2024.",“This is the kind of technology that could be incredibly useful and incredibly destructive.”,"Quotation of the Day for Monday, November 11, 2024.",Summary,2024-11-11
2024-11-11 05:01:12+00:00,Will Trump Rekindle a Bromance With Kim Jong-un? South Koreans Worry.,Donald J. Trump’s second term brings uncertainty to the Korean Peninsula as nuclear tensions run high. North Korea’s leader may see a chance to re-engage.,"During his 2024 election campaign, Donald J. Trump described the United States’ alliance with South Korea as a terrible bargain for his country, accusing the Asian ally of not paying enough ​for the 28,500 ​American troops ​stationed on its soil.",Donald J. Trump’s second term brings uncertainty to the Korean Peninsula as nuclear tensions run high. North Korea’s leader may see a chance to re-engage.,Foreign,2024-11-11
