pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-23 00:02:37+00:00,"Pam Bondi, a $25,000 Donation and Trump University: Questions Remain","While Ms. Bondi, President-elect Donald J. Trump’s pick for attorney general, served as attorney general of Florida, her office declined to investigate allegations of fraud against his for-profit school.","Reports of deceptive practices and fraud by Donald J. Trump and his Trump University business unit had been piling up for several years in states across the nation, including in Florida.","While Ms. Bondi, President-elect Donald J. Trump’s pick for attorney general, served as attorney general of Florida, her office declined to investigate allegations of fraud against his for-profit school.",Washington,2024-11-23
2024-11-23 00:12:34+00:00,Trump Picks Key Figure in Project 2025 for Powerful Budget Role,"Russell Vought, who would lead the Office of Management and Budget, has spent years building plans to rework the American structure of government in ways that would enhance presidential power.","President-elect Donald J. Trump on Friday picked a key figure in Project 2025 to lead the Office of Management and Budget, elevating a longtime ally who has spent the last four years making plans to rework the American government to enhance presidential power.","Russell Vought, who would lead the Office of Management and Budget, has spent years building plans to rework the American structure of government in ways that would enhance presidential power.",Washington,2024-11-23
2024-11-23 00:21:02+00:00,Penny Trial Defense Shifts Focus From Choke to Sickle Cell and Drug Use,"Lawyers for Daniel Penny, who is accused of choking Jordan Neely to death, called an expert who argued that a combination of factors led to Mr. Neely’s death.","Jordan Neely, a Black man who died after he was choked in a subway car last year, had the sickle cell trait, a genetic condition that can affect blood cells and overwhelmingly occurs in Black people. Whether Mr. Neely knew that he had the trait is unclear. But since his death, it has become a point of contention for lawyers.","Lawyers for Daniel Penny, who is accused of choking Jordan Neely to death, called an expert who argued that a combination of factors led to Mr. Neely’s death.",Metro,2024-11-23
2024-11-23 00:28:06+00:00,‘Glicked’ Fans Rejoice in Bloodshed and Broadway Songs,"“Wicked” and “Gladiator II,” which opened on Friday, drew moviegoers who attended a double feature that emulated the rage over “Barbenheimer” last year.","Swords clashing and blood curdling screams of gladiators emanate from one room. Across the hallway, witches belt out show tunes.","“Wicked” and “Gladiator II,” which opened on Friday, drew moviegoers who attended a double feature that emulated the rage over “Barbenheimer” last year.",Culture,2024-11-23
2024-11-23 01:14:35+00:00,Dr. Martin Makary Chosen to Head the F.D.A.,"A frequent Fox News commentator, Dr. Makary has a penchant for challenging the medical establishment, and stirred pandemic concerns with his views on Covid immunity and vaccine mandates.","President-elect Donald J. Trump announced on Friday that he would nominate Dr. Martin A. Makary, a Johns Hopkins University surgeon with a contrarian streak, to be commissioner of the Food and Drug Administration.","A frequent Fox News commentator, Dr. Makary has a penchant for challenging the medical establishment, and stirred pandemic concerns with his views on Covid immunity and vaccine mandates.",Science,2024-11-23
2024-11-23 01:19:05+00:00,Florida’s Top Health Official Urges an End to Putting Fluoride in Water,"The recommendation followed similar pushes from Robert F. Kennedy Jr., Donald J. Trump’s pick to lead the Department of Health and Human Services.","Florida’s surgeon general issued guidance on Friday that called for a halt to adding fluoride to the water supply, backing a similar push by Robert F. Kennedy Jr. — President-elect Donald J. Trump’s pick to lead the Department of Health and Human Services.","The recommendation followed similar pushes from Robert F. Kennedy Jr., Donald J. Trump’s pick to lead the Department of Health and Human Services.",Washington,2024-11-23
2024-11-23 02:01:18+00:00,Emerging Details of Chinese Hack Leave U.S. Officials Increasingly Concerned,Leaders of the big telecommunications companies were summoned to the White House to discuss strategies for overhauling the security of the nation’s telecommunications networks amid growing alarm at the scope of a Chinese hack.,Leaders of the top telecommunications companies were summoned to the White House on Friday to discuss a security problem that has been roiling the government: how to expel Chinese hackers from the deepest corners of the nation’s communications networks.,Leaders of the big telecommunications companies were summoned to the White House to discuss strategies for overhauling the security of the nation’s telecommunications networks amid growing alarm at the scope of a Chinese hack.,Washington,2024-11-23
2024-11-23 02:13:37+00:00,Israel Is Not an I.C.C. Member. How Can the Court Prosecute Israeli Leaders?,The jurisdiction of the court in The Hague can extend beyond member states.,"The arrest warrants issued this week by the International Criminal Court for leaders of Israel and Hamas, for crimes it accuses them of committing in Gaza, offer important insights into both the extent of the court’s jurisdiction and the limits of its power.",The jurisdiction of the court in The Hague can extend beyond member states.,Foreign,2024-11-23
2024-11-23 02:25:30+00:00,Labor Secretary Pick Is Rep. Lori Chavez-DeRemer of Oregon,"A moderate from a swing district, she received endorsements from several unions but narrowly lost her bid for a second House term.","Lori Chavez-DeRemer, a first-term Republican representative from Oregon who narrowly lost her House seat this month, was chosen on Friday to serve as labor secretary in the coming Trump administration.","A moderate from a swing district, she received endorsements from several unions but narrowly lost her bid for a second House term.",Business,2024-11-23
2024-11-23 02:32:29+00:00,"Trump Chooses Dr. David Weldon, a Former Congressman, to Lead the C.D.C.","In selecting a doctor who is skeptical of vaccine safety, the president-elect is emphasizing his commitment to reforming the role of federal health agencies in radical ways.","President-elect Donald J. Trump chose Dr. David Weldon, a former congressman, on Friday to serve as the director of the Centers for Disease Control and Prevention.","In selecting a doctor who is skeptical of vaccine safety, the president-elect is emphasizing his commitment to reforming the role of federal health agencies in radical ways.",Washington,2024-11-23
