pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-22 00:00:07+00:00,How Hostility to Immigrants Will Hurt America’s Tech Sector,Don’t assume that highly educated foreigners will be spared by the new administration.,"Will business prosper under a second Donald Trump presidency? As far as I can tell, many business leaders are pinning their hopes on the belief that he won’t actually follow through on his campaign pledges on tariffs and mass deportation — that they’ll be like his border wall, which, for the most part, he never built but claimed he had.",Don’t assume that highly educated foreigners will be spared by the new administration.,OpEd,2024-11-22
2024-11-22 00:04:53+00:00,"Trump Picks Pam Bondi, Florida’s Former Top Prosecutor, for Attorney General After Gaetz Withdraws","In Ms. Bondi, who served on his legal team during his first impeachment, the president-elect turned to a loyal ally to put his stamp on a Justice Department that he sees as hostile to him.","President-elect Donald J. Trump said on Thursday that he would nominate Pam Bondi to be attorney general, turning to a longtime loyalist who served as state attorney general in Florida to put his stamp on a Justice Department that he sees as politically hostile to him.","In Ms. Bondi, who served on his legal team during his first impeachment, the president-elect turned to a loyal ally to put his stamp on a Justice Department that he sees as hostile to him.",Washington,2024-11-22
2024-11-22 00:06:40+00:00,"Peter Sinfield, Poetic Lyricist for Prog Rock’s King Crimson, Dies at 80",His swirls of imagery helped define progressive rock in the 1970s. He later turned his focus to pop acts like Celine Dion.,"Peter Sinfield, whose mystical and at times politically pointed lyrics for the British band King Crimson became emblematic of the progressive rock movement of the 1970s, died on Nov. 14 in London. He was 80.",His swirls of imagery helped define progressive rock in the 1970s. He later turned his focus to pop acts like Celine Dion.,Obits,2024-11-22
2024-11-22 00:16:11+00:00,Phillips 66 Is Accused of Violating the Clean Water Act,"The oil company was indicted on charges of dumping nearly 800,000 gallons of contaminated wastewater into the Los Angeles County sewer system.","A federal grand jury on Wednesday indicted Phillips 66 on charges of violating the Clean Water Act by dumping nearly 800,000 gallons of contaminated wastewater into the Los Angeles County sewer system and failing to report the incident to authorities.","The oil company was indicted on charges of dumping nearly 800,000 gallons of contaminated wastewater into the Los Angeles County sewer system.",Business,2024-11-22
2024-11-22 00:25:12+00:00,"M.I.T. to Offer Free Tuition to Families Earning Less Than $200,000","For students whose families earn less than $100,000 per year, the school will also cover other costs, including housing, dining, fees and an allowance for books and personal expenses.","The Massachusetts Institute of Technology announced on Wednesday that it would eliminate tuition costs next fall for all undergraduate students whose families earn less than $200,000 per year — following a national movement to try to make higher education more accessible.","For students whose families earn less than $100,000 per year, the school will also cover other costs, including housing, dining, fees and an allowance for books and personal expenses.",Express,2024-11-22
2024-11-22 00:37:43+00:00,Why a Police Shooting Victim’s Family Won’t Get a $100 Million Payout,"Cities have paid out billions of dollars in police misconduct cases, but depending on the case, families may not receive any money at all. A recent $100 million penalty for a police shooting case in Dallas may never lead to a payout.","The family of George Floyd received $27 million after he was killed by police officers in Minneapolis. The family of Breonna Taylor got $12 million. Richard Cox, who was paralyzed after a ride in a police van in New Haven, Conn., got $46 million.","Cities have paid out billions of dollars in police misconduct cases, but depending on the case, families may not receive any money at all. A recent $100 million penalty for a police shooting case in Dallas may never lead to a payout.",National,2024-11-22
2024-11-22 00:41:41+00:00,Three Short Posts Show a New Power Dynamic Between Musk and Bezos,"The world’s two richest men are longtime business rivals, but now one of them has the ear of the next president of the United States.","A few months ago, a three-post exchange between Jeff Bezos and Elon Musk on Mr. Musk’s X would have passed for petty sniping between billionaire rivals.","The world’s two richest men are longtime business rivals, but now one of them has the ear of the next president of the United States.",Business,2024-11-22
2024-11-22 00:41:41+00:00,Marjorie Taylor Greene Will Lead New ‘DOGE’ Panel on Government Efficiency,The rise of the Republican representative from Georgia signals the ascendancy of the MAGA wing of the G.O.P. in Congress.,"When she arrived in Congress in 2021, Representative Marjorie Taylor Greene, Republican of Georgia, was quickly stripped of her two committee assignments by Democrats and shunned by her colleagues on Capitol Hill.",The rise of the Republican representative from Georgia signals the ascendancy of the MAGA wing of the G.O.P. in Congress.,Washington,2024-11-22
2024-11-22 01:02:41+00:00,The Road to Trump’s ‘Grand New Party’,Ross Douthat and Reihan Salam had a vision for how Republicans could reclaim the working class. They never expected Trump to fulfill it.,Ross Douthat and Reihan Salam had a vision for how Republicans could reclaim the working class. They never expected Trump to fulfill it.,Ross Douthat and Reihan Salam had a vision for how Republicans could reclaim the working class. They never expected Trump to fulfill it.,,2024-11-22
2024-11-22 01:02:54+00:00,West Bank Settlement Supporters Have Big Hopes for Trump’s Presidency,"As Donald J. Trump nominates staunch supporters of Israel to key positions, advocacy groups are taking aim at the departing administration's policies.","The Biden administration this week imposed sanctions on more groups and individuals it accuses of having ties to Israeli settlers inciting violence in the occupied West Bank, a last-ditch show of disapproval of Israelis’ annexation of land there before U.S. policy on the issue most likely swings the other way under the next administration.","As Donald J. Trump nominates staunch supporters of Israel to key positions, advocacy groups are taking aim at the departing administration's policies.",Foreign,2024-11-22
