pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-18 00:04:42+00:00,"After Flurry of Cabinet Picks, Trump Rethinks Candidates for Treasury Secretary","President-elect Donald J. Trump is expected to invite the contenders for the role, including Kevin Warsh and Marc Rowan, to Mar-a-Lago this week.",President-elect Donald J. Trump is eyeing a new candidate for Treasury Secretary amid internal debate over who should have the role: the former Federal Reserve governor Kevin Warsh.,"President-elect Donald J. Trump is expected to invite the contenders for the role, including Kevin Warsh and Marc Rowan, to Mar-a-Lago this week.",Washington,2024-11-18
2024-11-18 00:40:53+00:00,"What Are ATACMS, the U.S. Missiles That Officials Say Ukraine Fired Into Russia?","In a major policy shift, the Biden administration has authorized Ukraine to use the ballistic missiles within Russia.","Ukraine’s military used American-made ATACMS missiles to strike into Russia for the first time on Tuesday, according to senior U.S. and Ukrainian officials.","In a major policy shift, the Biden administration has authorized Ukraine to use the ballistic missiles within Russia.",Foreign,2024-11-18
2024-11-18 01:00:09+00:00,The Truly Incredible Story of Keiko the Killer Whale,"One whale, and what it represents for millions of people.",On This Week’s Episode:,"One whale, and what it represents for millions of people.",Podcasts,2024-11-18
2024-11-18 01:00:16+00:00,"Review: In ‘Elf’ on Broadway, Buddy Lands on the Very, Very Nice List","The musical, starring Grey Henson, has gotten Buddy delightfully, entirely right. But he is trapped inside a creaky adaptation.","Santa Clauses are pretty interchangeable. The real Santa’s close friend Buddy the elf would disagree, but it’s true: Put on the red costume, hide behind the glossy beard, manage a few ho, ho, hos and anyone will do.","The musical, starring Grey Henson, has gotten Buddy delightfully, entirely right. But he is trapped inside a creaky adaptation.",Culture,2024-11-18
2024-11-18 01:10:45+00:00,Trump Picks Brendan Carr to Lead F.C.C.,"Mr. Carr, who currently sits on the commission and is a vocal critic of Big Tech, has said the agency should regulate the tech industry.","President-elect Donald J. Trump on Sunday chose Brendan Carr to be chairman of the Federal Communications Commission, naming a veteran Republican regulator who has publicly agreed with the incoming administration’s promises to slash regulation, go after Big Tech and punish TV networks for political bias.","Mr. Carr, who currently sits on the commission and is a vocal critic of Big Tech, has said the agency should regulate the tech industry.",Business,2024-11-18
2024-11-18 01:16:57+00:00,"Shouting Racial Slurs, Neo-Nazi Marchers Shock Ohio’s Capital","The demonstration in Columbus on Saturday, part of a recent pattern of white supremacist incidents in the country, was condemned by officials around the state.","Officials in Columbus, Ohio, and across the nation condemned a small group of people who marched through a part of the city on Saturday carrying Nazi flags and shouting racial slurs and expressions of white power.","The demonstration in Columbus on Saturday, part of a recent pattern of white supremacist incidents in the country, was condemned by officials around the state.",National,2024-11-18
2024-11-18 01:27:19+00:00,Oregon School Leaders on Leave After 2 Teachers Are Charged With Sex Abuse,The police said the St. Helens School District was informed of the abuse allegations as early as 2019 but officials failed to alert the authorities.,"Two Oregon high school teachers charged on Tuesday with sexually abusing students had been reported as early as 2019 to district officials, who failed to notify the authorities, according to the police.",The police said the St. Helens School District was informed of the abuse allegations as early as 2019 but officials failed to alert the authorities.,Express,2024-11-18
2024-11-18 02:30:23+00:00,"No Corrections: Nov. 18, 2024","No corrections appeared in print on Monday, Nov. 18, 2024.","No corrections appeared in print on Monday, November 18, 2024.","No corrections appeared in print on Monday, Nov. 18, 2024.",Corrections,2024-11-18
2024-11-18 03:10:07+00:00,‘Dune: Prophecy’ Season 1 Premiere Recap: Sick Burn,The first installment of HBO’s “Dune” prequel series suggests there is a “burning truth” very few are capable of seeing. It may be too hot to handle.,"“Humanity’s greatest weapon is the lie,” says Reverend Mother Tula Harkonnen of the Sisterhood (Olivia Williams). “Human beings rely on lies to survive. We lie to our enemies, we lie to our friends, we lie to ourselves. Lying is among the most sophisticated tasks a brain can perform.”",The first installment of HBO’s “Dune” prequel series suggests there is a “burning truth” very few are capable of seeing. It may be too hot to handle.,Culture,2024-11-18
2024-11-18 05:01:14+00:00,Quote of the Day: How Harris’s Campaign Spent $1.5 Billion in Just 15 Weeks,"Quotation of the Day for Monday, November 18, 2024.",“We had so much money it was hard to get it out the door.”,"Quotation of the Day for Monday, November 18, 2024.",Summary,2024-11-18
