pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-30 01:20:35+00:00,Pete Hegseth’s Mother Accused Her Son of Mistreating Women for Years,"Penelope Hegseth made the accusation in an email to her son in 2018, amid his contentious divorce. She said on Friday that she regretted the email and had apologized to him.","The mother of Pete Hegseth, President-elect Donald J. Trump’s pick for secretary of defense, wrote him an email in 2018 saying he had routinely mistreated women for years and displayed a lack of character.","Penelope Hegseth made the accusation in an email to her son in 2018, amid his contentious divorce. She said on Friday that she regretted the email and had apologized to him.",Washington,2024-11-30
2024-11-30 01:21:34+00:00,Text of the Email That Pete Hegseth’s Mother Sent Him,"Penelope Hegseth sent the email to her son in 2018 as he was in the middle of a divorce from his wife, Samantha.","The following is the text of the email that Penelope Hegseth sent to her son, Pete Hegseth, on April 30, 2018. One sentence was redacted by The New York Times for privacy reasons.","Penelope Hegseth sent the email to her son in 2018 as he was in the middle of a divorce from his wife, Samantha.",Washington,2024-11-30
2024-11-30 02:30:01+00:00,"Corrections: Nov. 30, 2024","Corrections that appeared in print on Saturday, Nov. 30, 2024.","An article on Friday about London’s Smithfield Market incorrectly identified the music ensemble for which Simon Rattle is a conductor. It is the London Symphony Orchestra, not the London Philharmonic Orchestra.","Corrections that appeared in print on Saturday, Nov. 30, 2024.",Corrections,2024-11-30
2024-11-30 03:00:03+00:00,Styles of Singing,Oliver Goodridge and Juan Garavito team up on a hairy challenge.,"SATURDAY PUZZLE — Today’s Crossword is the result of circumstances that are quite rare for a Saturday. First, the grid is a collaboration; second, both of its constructors, Oliver Goodridge and Juan Garavito, are making their Times Crossword debuts.",Oliver Goodridge and Juan Garavito team up on a hairy challenge.,Games,2024-11-30
2024-11-30 04:59:00+00:00,Quote of the Day: Macron Takes an Early Look at a Gleaming Notre-Dame,"Quotation of the Day for Saturday, November 30, 2024.",“You’ve achieved what was said to be impossible.”,"Quotation of the Day for Saturday, November 30, 2024.",Summary,2024-11-30
2024-11-30 05:12:04+00:00,Taiwan’s President to Rally Tiny Pacific Allies to Counter China,Lai Ching-te is looking to shore up support from three island nations that are among a dwindling number to keep diplomatic ties with Taiwan.,Taiwan’s president set off on a mission on Saturday to shore up relations with some of his island democracy’s shrinking band of diplomatic allies: three tiny Pacific Island nations that have taken an outsize importance in Taiwan’s struggle against Chinese efforts to push it off the international stage.,Lai Ching-te is looking to shore up support from three island nations that are among a dwindling number to keep diplomatic ties with Taiwan.,Foreign,2024-11-30
2024-11-30 08:00:03+00:00,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,"Hi, busy bees! Welcome to today’s Spelling Bee forum. Enter the comments section to see hints, conversation, helpful tips and creative content from other solvers.",Feeling stuck on today’s puzzle? We can help.,Games,2024-11-30
2024-11-30 08:00:06+00:00,How a Coffee Fortune Teller Spends His Sundays,"Dr. Honeybrew, as he is known, starts his days with music before brewing Turkish coffee in hot sand and opening his home to guests for a little bit of magic.","Uluç Ülgen was born in Istanbul and raised in Minnesota, then he moved to New York in 2012, hoping for a bigger life. A few years later, as “Dr. Honeybrew,” he created the Turkish Coffee Room, a coffee-grounds reading ceremony that is performed out of his living room in the East Village of Manhattan.","Dr. Honeybrew, as he is known, starts his days with music before brewing Turkish coffee in hot sand and opening his home to guests for a little bit of magic.",Metropolitan,2024-11-30
2024-11-30 08:00:13+00:00,The Hole in This Bagel Shop’s Business Model? It’s Too Popular.,Apollo Bagels in the West Village is drawing lines out the door — and most of the way down the block. Now it’s in a legal fight to stave off eviction.,"The problem for Apollo Bagels begins outside its cramped West Village corner storefront and ends, at peak hours, more than 100 feet down the block.",Apollo Bagels in the West Village is drawing lines out the door — and most of the way down the block. Now it’s in a legal fight to stave off eviction.,Metro,2024-11-30
2024-11-30 10:00:04+00:00,Undersea Surgeons,"The cables at the heart of the lightspeed, globe-spanning internet run across the grimy, perilous, inaccessible deeps of the sea, in places no one ever sees or visits – until the cables break.","The cables at the heart of the lightspeed, globe-spanning internet run across the grimy, perilous, inaccessible deeps of the sea, in places no one ever sees or visits – until the cables break.","The cables at the heart of the lightspeed, globe-spanning internet run across the grimy, perilous, inaccessible deeps of the sea, in places no one ever sees or visits – until the cables break.",World,2024-11-30
2024-11-30 10:00:10+00:00,"As Cash Fades, Small Retailers Embrace Efforts to Rein In Swipe Fees","Business owners say card transaction fees are a growing monthly expense, one often passed to consumers. They’re cheering efforts to lower them.","Credit and debit card fees were always a big business expense for Patti Riordan, who owns a hobby shop in Lancaster, Ohio. But, she said, since the coronavirus pandemic, they’ve become a pain point.","Business owners say card transaction fees are a growing monthly expense, one often passed to consumers. They’re cheering efforts to lower them.",Business,2024-11-30
2024-11-30 10:00:11+00:00,What Happens When Undersea Internet Cables Snap?,"The internet is made up of hundreds of cables crossing the floors and the canyons of the earth’s oceans. So what happens when the cables snap? James Glanz, an investigative reporter for The New York Times, explains what could go wrong with subsea internet cables and how these cables get fixed.","The internet is made up of hundreds of cables crossing the floors and the canyons of the earth’s oceans. So what happens when the cables snap? James Glanz, an investigative reporter for The New York Times, explains what could go wrong with subsea internet cables and how these cables get fixed.","The internet is made up of hundreds of cables crossing the floors and the canyons of the earth’s oceans. So what happens when the cables snap? James Glanz, an investigative reporter for The New York Times, explains what could go wrong with subsea ...",,2024-11-30
2024-11-30 10:00:13+00:00,"As Their Business Flourished, the Marriage Floundered","Emily and Matthew Hyland found that going into the restaurant business together was not a step to be taken lightly. “Shared visions can change,” he said.","In Unhitched, couples tell the stories of their relationships, from romance to vows to divorce to life afterward.","Emily and Matthew Hyland found that going into the restaurant business together was not a step to be taken lightly. “Shared visions can change,” he said.",Styles,2024-11-30
2024-11-30 10:00:20+00:00,New Horror Novels That Chill and Entertain,"Our columnist reviews books with lessons about perseverance, an undead girl and bizarre food.","Eliza Clark’s SHE’S ALWAYS HUNGRY: Stories (Harper Perennial, 225 pp., paperback, $17.99) is one of the best collections of the year, and I don’t mean just out of this year’s horror offerings, but out of all of 2024’s literary releases.","Our columnist reviews books with lessons about perseverance, an undead girl and bizarre food.",BookReview,2024-11-30
2024-11-30 10:00:21+00:00,"When Stephen Sondheim Transformed Theater, and Theatergoers, Forever","An incisive new book, “How Sondheim Can Change Your Life,” examines the extraordinary career of the master of the musical.","In the early 1980s, the librettist and director James Lapine asked the composer Stephen Sondheim what sort of musical he wanted to write. The pair were in the early stages of creating “Sunday in the Park With George,” their first collaboration of many, and the response given by the older to the younger man was very Sondheimish indeed. “Theme and variation,” said Sondheim, or as Richard Schoch puts it in his heartwarming essay collection, “How Sondheim Can Change Your Life,” “not, then, a story to be told, but a perspective to be taken.”","An incisive new book, “How Sondheim Can Change Your Life,” examines the extraordinary career of the master of the musical.",BookReview,2024-11-30
2024-11-30 10:00:25+00:00,How Do New Streets Get Their Names?,"“You want the street name to be something people would be proud to live on,” says one developer. But no bad vibes, please.","Since 1998, Lorrie Parise has come up with the names for hundreds of streets, roads, drives and trails that crisscross two Houston-area planned communities, The Woodlands and The Woodlands Hills. Somewhere along the line, she began to think that naming a baby is easier than naming a street.","“You want the street name to be something people would be proud to live on,” says one developer. But no bad vibes, please.",RealEstate,2024-11-30
2024-11-30 10:00:27+00:00,How Can We Save the Best Parts of Our Cities?,A gay bar. A bookstore. Fresh salt air. We could learn to preserve what matters most to people.,"In April 1969, two months before police officers raided a gay bar on Christopher Street in Greenwich Village called the Stonewall Inn, New York City’s Landmarks Preservation Commission designated the Village a historic district thanks to its rowhouses and spaghetti entanglement of streets, the serendipity of Colonial-era cattle paths and property lines colliding with the city grid.",A gay bar. A bookstore. Fresh salt air. We could learn to preserve what matters most to people.,Culture,2024-11-30
2024-11-30 10:00:49+00:00,Auli’i Cravalho Is More Than a Disney Princess,"“Moana” made her a breakout star. Now Cravalho, at 24, is back in the sequel, while also making her Broadway debut and embracing edgier parts.","On a chilly November evening, wearing a light leather jacket and a scarf, Auli’i Cravalho was freezing as she plunged through a pair of gleaming doors into a candlelit bar in Midtown Manhattan.","“Moana” made her a breakout star. Now Cravalho, at 24, is back in the sequel, while also making her Broadway debut and embracing edgier parts.",Arts&Leisure,2024-11-30
2024-11-30 10:00:49+00:00,Bridget Finn Takes the Helm of Miami’s Big-League Art Fair,"The new director of Art Basel Miami Beach comes from the gallery world. As the art market contracts and rival fairs expand, how will Finn deliver?","If you want to be immediately ushered into the back rooms of downtown New York’s pre-eminent art galleries, it helps to be a deep-pocketed collector. Or you could just tag along with Bridget Finn, the new director of Art Basel Miami Beach, as she hopped between TriBeCa galleries on a recent afternoon.","The new director of Art Basel Miami Beach comes from the gallery world. As the art market contracts and rival fairs expand, how will Finn deliver?",Arts&Leisure,2024-11-30
2024-11-30 10:00:54+00:00,Juliette Binoche Is Taking Christian Louboutin to the Theater,"“I’ve seen this play three times, and it’s five and a half hours long,” said the actress, who stars in the new movie “The Return.”","In Homer’s “Odyssey,” Penelope waits 20 years for her husband, Odysseus, to come home after winning the Trojan War.","“I’ve seen this play three times, and it’s five and a half hours long,” said the actress, who stars in the new movie “The Return.”",Arts&Leisure,2024-11-30
2024-11-30 10:00:55+00:00,Silicon Valley’s Richest Woman Hosts a Day of Innovation. Just Don’t Say Trump.,"As the country’s liberal bubbles mourn the election’s outcome, Laurene Powell Jobs highlighted entrepreneurs’ good work with one rule: “Cheer loudly!”",Some billionaires are joining the Trump administration. Others are contemplating leaving the country.,"As the country’s liberal bubbles mourn the election’s outcome, Laurene Powell Jobs highlighted entrepreneurs’ good work with one rule: “Cheer loudly!”",National,2024-11-30
2024-11-30 10:00:58+00:00,6 Podcasts That Will Read You a Bedtime Story,"If you’re seeking a respite for your brain at the end of the day, these shows deliver tales that are diverting but uneventful enough to help you doze off.","There’s a lot that may be keeping you up at night. Sleep problems have been on the rise for years and have spiked since the pandemic alongside other mental health concerns. And if you’re one of the many Americans who lost sleep in the run up to the election, you may not be sleeping much better now that it’s over.","If you’re seeking a respite for your brain at the end of the day, these shows deliver tales that are diverting but uneventful enough to help you doze off.",Arts&Leisure,2024-11-30
